EVENT,BOUT,URL,EVENT_NUMBER,MAIN_FIGHTER_1,MAIN_FIGHTER_2
UFC Fight Night: Hermansson vs. Pyfer,Bogdan Guskov vs. Zac Pauga,http://ufcstats.com/fight-details/ad26bf55ff201f4f,,Bogdan Guskov,Zac Pauga
UFC Fight Night: Hermansson vs. Pyfer,Hyder Amil vs. Fernie Garcia,http://ufcstats.com/fight-details/478a637045ad49fb,,Hyder Amil,Fernie Garcia
UFC Fight Night: Hermansson vs. Pyfer,Daniel Marcos vs. Aoriqileng,http://ufcstats.com/fight-details/6cd542650d886c22,,Daniel Marcos,Aoriqileng
UFC Fight Night: Dolidze vs. Imavov,Nassourdine Imavov vs. Roman Dolidze,http://ufcstats.com/fight-details/767ceb4a0cb43ade,,Nassourdine Imavov,Roman Dolidze
UFC Fight Night: Dolidze vs. Imavov,Renato Moicano vs. Drew Dober,http://ufcstats.com/fight-details/733e675fd7c0052a,,Renato Moicano,Drew Dober
UFC Fight Night: Dolidze vs. Imavov,Randy Brown vs. Muslim Salikhov,http://ufcstats.com/fight-details/af6d56860ba4d259,,Randy Brown,Muslim Salikhov
UFC Fight Night: Dolidze vs. Imavov,Natalia Silva vs. Viviane Araujo,http://ufcstats.com/fight-details/7b1882dc76786d77,,Natalia Silva,Viviane Araujo
UFC Fight Night: Dolidze vs. Imavov,Aliaskhab Khizriev vs. Makhmud Muradov,http://ufcstats.com/fight-details/415ea2520b7ba720,,Aliaskhab Khizriev,Makhmud Muradov
UFC Fight Night: Dolidze vs. Imavov,Charles Radtke vs. Gilbert Urbina,http://ufcstats.com/fight-details/330d86bfaa4155fe,,Charles Radtke,Gilbert Urbina
UFC Fight Night: Dolidze vs. Imavov,Molly McCann vs. Diana Belbita,http://ufcstats.com/fight-details/d4ace70b3661ee6c,,Molly McCann,Diana Belbita
UFC Fight Night: Dolidze vs. Imavov,Charles Johnson vs. Azat Maksum,http://ufcstats.com/fight-details/ca7d61e167d7789c,,Charles Johnson,Azat Maksum
UFC Fight Night: Dolidze vs. Imavov,Themba Gorimbo vs. Pete Rodriguez,http://ufcstats.com/fight-details/4cff9aeef3ac75c1,,Themba Gorimbo,Pete Rodriguez
UFC Fight Night: Dolidze vs. Imavov,JeongYeong Lee vs. Blake Bilder,http://ufcstats.com/fight-details/e1930496b33fa636,,JeongYeong Lee,Blake Bilder
UFC Fight Night: Dolidze vs. Imavov,Luana Carolina vs. Julija Stoliarenko,http://ufcstats.com/fight-details/c28d40498150de90,,Luana Carolina,Julija Stoliarenko
UFC Fight Night: Dolidze vs. Imavov,MarQuel Mederos vs. Landon Quinones,http://ufcstats.com/fight-details/e396c509fb47b037,,MarQuel Mederos,Landon Quinones
UFC Fight Night: Dolidze vs. Imavov,Jamal Pogues vs. Thomas Petersen,http://ufcstats.com/fight-details/df9847839c73a678,,Jamal Pogues,Thomas Petersen
UFC 297: Strickland vs. Du Plessis,Dricus Du Plessis vs. Sean Strickland,http://ufcstats.com/fight-details/14e53999507c76a7,297,Dricus Du Plessis,Sean Strickland
UFC 297: Strickland vs. Du Plessis,Raquel Pennington vs. Mayra Bueno Silva,http://ufcstats.com/fight-details/faf15b752fb8924c,297,Raquel Pennington,Mayra Bueno Silva
UFC 297: Strickland vs. Du Plessis,Neil Magny vs. Mike Malott,http://ufcstats.com/fight-details/97817609ed46baa0,297,Neil Magny,Mike Malott
UFC 297: Strickland vs. Du Plessis,Chris Curtis vs. Marc-Andre Barriault,http://ufcstats.com/fight-details/ba5005d1116fa45f,297,Chris Curtis,Marc-Andre Barriault
UFC 297: Strickland vs. Du Plessis,Movsar Evloev vs. Arnold Allen,http://ufcstats.com/fight-details/1a7cd191f0cf160c,297,Movsar Evloev,Arnold Allen
UFC 297: Strickland vs. Du Plessis,Garrett Armfield vs. Brad Katona,http://ufcstats.com/fight-details/670e4754d8d3d172,297,Garrett Armfield,Brad Katona
UFC 297: Strickland vs. Du Plessis,Sean Woodson vs. Charles Jourdain,http://ufcstats.com/fight-details/331ddc1141e934d1,297,Sean Woodson,Charles Jourdain
UFC 297: Strickland vs. Du Plessis,Ramon Taveras vs. Serhiy Sidey,http://ufcstats.com/fight-details/43d90683078fcee5,297,Ramon Taveras,Serhiy Sidey
UFC 297: Strickland vs. Du Plessis,Gillian Robertson vs. Polyana Viana,http://ufcstats.com/fight-details/dff2685afd98ed9e,297,Gillian Robertson,Polyana Viana
UFC 297: Strickland vs. Du Plessis,Sam Patterson vs. Yohan Lainesse,http://ufcstats.com/fight-details/a10e2d5416972b9c,297,Sam Patterson,Yohan Lainesse
UFC 297: Strickland vs. Du Plessis,Jasmine Jasudavicius vs. Priscila Cachoeira,http://ufcstats.com/fight-details/7736eb6bd5c1ff4a,297,Jasmine Jasudavicius,Priscila Cachoeira
UFC 297: Strickland vs. Du Plessis,Jimmy Flick vs. Malcolm Gordon,http://ufcstats.com/fight-details/ab105e5a56b5ee90,297,Jimmy Flick,Malcolm Gordon
UFC Fight Night: Ankalaev vs. Walker 2,Magomed Ankalaev vs. Johnny Walker,http://ufcstats.com/fight-details/f2b407019b2a5c15,,Magomed Ankalaev,Johnny Walker
UFC Fight Night: Ankalaev vs. Walker 2,Jim Miller vs. Gabriel Benitez,http://ufcstats.com/fight-details/640f2ae3995b3b4f,,Jim Miller,Gabriel Benitez
UFC Fight Night: Ankalaev vs. Walker 2,Mario Bautista vs. Ricky Simon,http://ufcstats.com/fight-details/a8239866e1222eae,,Mario Bautista,Ricky Simon
UFC Fight Night: Ankalaev vs. Walker 2,Brunno Ferreira vs. Phil Hawes,http://ufcstats.com/fight-details/d0d99889c6abd8e1,,Brunno Ferreira,Phil Hawes
UFC Fight Night: Ankalaev vs. Walker 2,Waldo Cortes-Acosta vs. Andrei Arlovski,http://ufcstats.com/fight-details/6f13fe34cb3ca906,,Waldo Cortes-Acosta,Andrei Arlovski
UFC Fight Night: Ankalaev vs. Walker 2,Preston Parsons vs. Matthew Semelsberger,http://ufcstats.com/fight-details/5f622d812b8f407f,,Preston Parsons,Matthew Semelsberger
UFC Fight Night: Ankalaev vs. Walker 2,Marcus McGhee vs. Gaston Bolanos,http://ufcstats.com/fight-details/03de7404decde12f,,Marcus McGhee,Gaston Bolanos
UFC Fight Night: Ankalaev vs. Walker 2,Farid Basharat vs. Taylor Lapilus,http://ufcstats.com/fight-details/477c3b9de012e4b3,,Farid Basharat,Taylor Lapilus
UFC Fight Night: Ankalaev vs. Walker 2,Jean Silva vs. Westin Wilson,http://ufcstats.com/fight-details/0494ebcee93e717b,,Jean Silva,Westin Wilson
UFC Fight Night: Ankalaev vs. Walker 2,Nikolas Motta vs. Tom Nolan,http://ufcstats.com/fight-details/5344e76e26503716,,Nikolas Motta,Tom Nolan
UFC Fight Night: Ankalaev vs. Walker 2,Joshua Van vs. Felipe Bunes,http://ufcstats.com/fight-details/fd29123ff92789e4,,Joshua Van,Felipe Bunes
UFC 296: Edwards vs. Covington,Leon Edwards vs. Colby Covington,http://ufcstats.com/fight-details/3fa8ee3fdc04fe36,296,Leon Edwards,Colby Covington
UFC 296: Edwards vs. Covington,Alexandre Pantoja vs. Brandon Royval,http://ufcstats.com/fight-details/4896b36f1333d25c,296,Alexandre Pantoja,Brandon Royval
UFC 296: Edwards vs. Covington,Shavkat Rakhmonov vs. Stephen Thompson,http://ufcstats.com/fight-details/1efc813ccd7a5aba,296,Shavkat Rakhmonov,Stephen Thompson
UFC 296: Edwards vs. Covington,Paddy Pimblett vs. Tony Ferguson,http://ufcstats.com/fight-details/ac8628d945a78b03,296,Paddy Pimblett,Tony Ferguson
