EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,FIGHTER_1,FIGHTER_2,FIGHTER_1_RESULT,FIGHTER_2_RESULT,JUDGE_1,JUDGE_1_SCORE,JUDGE_2,JUDGE_2_SCORE,JUDGE_3,JUDGE_3_SCORE
UFC Fight Night: Hermansson vs. Pyfer ,Robert Bryczek  vs. Ihor Potieria ,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Adalaide Byrd 27 - 30.Jacob Montalvo 27 - 30.Chris Flores 28 - 29.,http://ufcstats.com/fight-details/17050a7b673dc49d,Robert Bryczek,Ihor Potieria,L,W,Adalaide Byrd,27 - 30,Jacob Montalvo,27 - 30,Chris Flores,28 - 29
UFC Fight Night: Hermansson vs. Pyfer ,Brad Tavares  vs. Gregory Rodrigues ,L/W,Middleweight Bout,KO/TKO ,3,0:55,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/e7938bac3ec8b442,Brad Tavares,Gregory Rodrigues,L,W,,,,,,
UFC Fight Night: Hermansson vs. Pyfer ,Michael Johnson  vs. Darrius Flowers ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 27 - 30.Junichiro Kamijo 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/5304956aada097e8,Michael Johnson,Darrius Flowers,W,L,Eric Colon,27 - 30,Junichiro Kamijo,27 - 30,Chris Lee,27 - 30
UFC Fight Night: Hermansson vs. Pyfer ,Rodolfo Vieira  vs. Armen Petrosyan ,W/L,Middleweight Bout,Submission ,1,4:48,3 Rnd (5-5-5),Mark Smith,Arm Triangle From Mount ,http://ufcstats.com/fight-details/9d8473ae274ed625,Rodolfo Vieira,Armen Petrosyan,W,L,,,,,,
UFC Fight Night: Hermansson vs. Pyfer ,Trevin Giles  vs. Carlos Prates ,L/W,Welterweight Bout,KO/TKO ,2,4:03,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/246fef4b19c3a7ed,Trevin Giles,Carlos Prates,L,W,,,,,,
UFC Fight Night: Hermansson vs. Pyfer ,Bolaji Oki  vs. Timmy Cuamba ,W/L,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Chris Lee 29 - 28.Chris Leben 28 - 29.,http://ufcstats.com/fight-details/edf46d6962be7e8d,Bolaji Oki,Timmy Cuamba,W,L,Mike Bell,28 - 29,Chris Lee,29 - 28,Chris Leben,28 - 29
UFC Fight Night: Hermansson vs. Pyfer ,Loma Lookboonmee  vs. Bruna Brasil ,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/c3986c1a56a6e94d,Loma Lookboonmee,Bruna Brasil,W,L,Eric Colon,28 - 29,amato,28 - 29,Junichiro Kamijo,28 - 29
UFC Fight Night: Hermansson vs. Pyfer ,Devin Clark  vs. Marcin Prachnio ,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30.Chris Lee 27 - 30.Jacob Montalvo 27 - 30.,http://ufcstats.com/fight-details/dbfd7616dec2b6d5,Devin Clark,Marcin Prachnio,L,W,Mike Bell,27 - 30,Chris Lee,27 - 30,Jacob Montalvo,27 - 30
UFC Fight Night: Hermansson vs. Pyfer ,Max Griffin  vs. Jeremiah Wells ,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 28 - 29.Sal D'amato 29 - 28.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/08f7a60bd84a6b3c,Max Griffin,Jeremiah Wells,W,L,Adalaide Byrd,28 - 29,amato,29 - 28,Junichiro Kamijo,28 - 29
UFC Fight Night: Hermansson vs. Pyfer ,Zac Pauga  vs. Bogdan Guskov ,L/W,Light Heavyweight Bout,KO/TKO ,1,3:38,3 Rnd (5-5-5),Mike Beltran,Punches to Head At Distance ,http://ufcstats.com/fight-details/ad26bf55ff201f4f,Zac Pauga,Bogdan Guskov,L,W,,,,,,
UFC Fight Night: Hermansson vs. Pyfer ,Fernie Garcia  vs. Hyder Amil ,L/W,Featherweight Bout,KO/TKO ,2,2:12,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/478a637045ad49fb,Fernie Garcia,Hyder Amil,L,W,,,,,,
