FIRST,LAST,NICKNAME,URL
Bill,Algeo,Senor Perfecto,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce,Alger,,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir,Aliakbari,,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan,Aliev,,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo,Aliev,Tajik Eagle,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Ikram,Aliskerov,,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon,Aliu,The Albanian Lion,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John,Allan,,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George,Allen,,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold,Allen,Almighty,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan,Allen,All In,http://ufcstats.com/fighter-details/2f181c0467965b98
Daniel,Allen,,http://ufcstats.com/fighter-details/adf9a901308fb8e3
Ben,Alloway,Blanco,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Asu,Almabayev,Zulfikar,http://ufcstats.com/fighter-details/8d3273573b85be09
Bekzat,Almakhan,The Turan Warrior,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
John Dave,Almanza,The Striker,http://ufcstats.com/fighter-details/088aa1b19b2dc14a
Ricardo,Almeida,Big Dog,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno,Almeida,,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas,Almeida,Thominhas,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka,Almeida,,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani,Almeida,,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton,Almeida,Malhadinho,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas,Almeida,,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar,Almeida,Cesinha,http://ufcstats.com/fighter-details/64d47ef881a437a4
Mauricio,Alonso,,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah,Alpar,Too Sweet,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali,AlQaisi,The Royal Fighter,http://ufcstats.com/fighter-details/e87a13e02c01331d
Rico,Altamirano,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor,Altamirano,El Magnifico,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike,Altman,,http://ufcstats.com/fighter-details/c11036da9162cb5f
Patricia,Alujas,The Angel,http://ufcstats.com/fighter-details/430c533614d45813
Sean,Alvarez,,http://ufcstats.com/fighter-details/e741536153227386
Eddie,Alvarez,,http://ufcstats.com/fighter-details/33a331684283900f
Jaime,Alvarez,,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel,Alvarez,El Fenomeno,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago,Alves,Pitbull,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony,Alves,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar,Alves,,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley,Alves,,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael,Alves,The Turn,http://ufcstats.com/fighter-details/029afd138865d20a
Sam,Alvey,Smile'N,http://ufcstats.com/fighter-details/d156513a19acf856
Christopher,Alvidrez,The Newborn,http://ufcstats.com/fighter-details/f4abf9aeda861283
Mahamed,Aly,,http://ufcstats.com/fighter-details/86c1441676af2c73
Andre,Amado,Dida,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan,Amagov,Borz,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara,Amanajas dos Santos,,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Chris,Amarante,,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy,Ambriz,The Titan,http://ufcstats.com/fighter-details/c912f676692c353a
JJ,Ambrose,,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen,Amedovski,,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Hyder,Amil,The Hurricane,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Hamid,Amiri,The Storm,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Makwan,Amirkhani,Mr. Finland,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline,Amorim,,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Yaroslav,Amosov,Dynamo,http://ufcstats.com/fighter-details/f139d6836efd43dd
Bertrand,Amoussou,,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl,Amoussou,The Psycho,http://ufcstats.com/fighter-details/23a8c33869bf5392
Eryk,Anders,Ya Boi,http://ufcstats.com/fighter-details/cad24459b28592ca
Matt,Andersen,,http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy,Anderson,The Hammer,http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell,Anderson,,http://ufcstats.com/fighter-details/1ffc38f67785797b
Corey,Anderson,Overtime,http://ufcstats.com/fighter-details/5e4eec08896c9423
Derek,Anderson,Barbaric,http://ufcstats.com/fighter-details/19ba965651486013
Megan,Anderson,,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Liam,Anderson,,http://ufcstats.com/fighter-details/b03a0c78ca45facf
Tatsuya,Ando,Kirinji,http://ufcstats.com/fighter-details/17615148dd4be6f6
Alex,Andrade,El Toro,http://ufcstats.com/fighter-details/1562b12763cc8d67
Jessica,Andrade,Bate Estaca,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi,Andrade,,http://ufcstats.com/fighter-details/d221ee27afc7a60e
Jermaine,Andre,,http://ufcstats.com/fighter-details/9bad58fa651d6196
Fellipe,Andrew,,http://ufcstats.com/fighter-details/7977fb0fd9c5955d
Dylan,Andrews,The Villain,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Reese,Andy,Riptide,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
,Angga,The Hitman,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
Julius,Anglickas,,http://ufcstats.com/fighter-details/e20ad078a7d63361
Collin,Anglin,,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad,Anheliger,The Monster,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Yoji,Anjo,Mr. 200%,http://ufcstats.com/fighter-details/e06fd1260ac865a7
Magomed,Ankalaev,,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad,Antigulov,,http://ufcstats.com/fighter-details/af997f7611673880
Adam,Antolin,Captain Chaos,http://ufcstats.com/fighter-details/25b31165758402dd
Angelo,Antonio,,http://ufcstats.com/fighter-details/dbd198f780286aca
Vanilto,Antunes,,http://ufcstats.com/fighter-details/cc49ada1ea955b13
Azunna,Anyanwu,Zulu,http://ufcstats.com/fighter-details/78d48d3874dacafd
Shinsho,Anzai,Animal,http://ufcstats.com/fighter-details/4665f9f909cd7214
Jin,Aoi,,http://ufcstats.com/fighter-details/031da10a00c8ccd4
Shinya,Aoki,Tobikan Judan,http://ufcstats.com/fighter-details/79ded75550efc139
,Aoriqileng,The Mongolian Murderer,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Josh,Appelt,,http://ufcstats.com/fighter-details/0c1a04afca64e38f
Erik,Apple,,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji,Arai,,http://ufcstats.com/fighter-details/269d103c96a4c3a5
Romie,Aram,,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
Felipe,Arantes,Sertanejo,http://ufcstats.com/fighter-details/71002dbc1743b9a7
Igor,Araujo,,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
Viviane,Araujo,Vivi,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Julio,Arce,,http://ufcstats.com/fighter-details/1291edf2d566a71a
Art,Arciniega,King Arthur,http://ufcstats.com/fighter-details/d25e39e74efb0a77
Alice,Ardelean,,http://ufcstats.com/fighter-details/87f8699fdcc2c404
Tristan,Arenal,,http://ufcstats.com/fighter-details/9c9455912d917e4e
Gabriel,Arges,,http://ufcstats.com/fighter-details/db3c4a884d704efe
Dan,Argueta,The Determined,http://ufcstats.com/fighter-details/e4ba58725825412d
Reza,Arianto,The Crazy Lion,http://ufcstats.com/fighter-details/90063913321e7670
Hashem,Arkhagha,,http://ufcstats.com/fighter-details/9a7ffa80766caa51
Andrei,Arlovski,The Pitbull,http://ufcstats.com/fighter-details/3738e68d2261e60f
Garrett,Armfield,,http://ufcstats.com/fighter-details/1effd880e1f1bb30
Joey,Armstrong,,http://ufcstats.com/fighter-details/30ad2050273d016a
Austin,Arnett,,http://ufcstats.com/fighter-details/bf0e700106d00e55
Ricardo,Arona,The Brazilian Tiger,http://ufcstats.com/fighter-details/05fbfe628658c538
Eli,Aronov,The Israeli Tank,http://ufcstats.com/fighter-details/a90c200c3fbb22c4
Chalid,Arrab,Die Faust,http://ufcstats.com/fighter-details/770b9d4813c25902
Akbarh,Arreola,El Caballero,http://ufcstats.com/fighter-details/c136b2a8852da5bd
Matt,Arroyo,No Regard,http://ufcstats.com/fighter-details/de62052b2ede65ba
Antonio,Arroyo,,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
Gilles,Arsene,,http://ufcstats.com/fighter-details/2dea80c069847321
Veta,Arteaga,,http://ufcstats.com/fighter-details/91e3388e69060e69
Cesar,Arzamendia,Goku,http://ufcstats.com/fighter-details/49f78022126bf4a4
Kai,Asakura,,http://ufcstats.com/fighter-details/d33da8a3d82bdb62
Teddy,Ash,Bear,http://ufcstats.com/fighter-details/a373085066dbfb54
Arman,Ashimov,Mustafa Ozturik,http://ufcstats.com/fighter-details/d26a0988c9dc9886
Yanal,Ashmouz,Red Fox,http://ufcstats.com/fighter-details/c739c2995a275314
,Asjabharan,,http://ufcstats.com/fighter-details/8be9deb7d6b36354
Askar,Askar,AK-47,http://ufcstats.com/fighter-details/2abc414136504554
Askar,Askarov,Bullet,http://ufcstats.com/fighter-details/b1d19449397541dc
Cyril,Asker,Silverback,http://ufcstats.com/fighter-details/9be6020024133293
Khusein,Askhabov,Nohcho,http://ufcstats.com/fighter-details/5c10da56d712ac9c
Scott,Askham,,http://ufcstats.com/fighter-details/06827d70c53ff0d9
Ben,Askren,Funky,http://ufcstats.com/fighter-details/0b31f87be71ebbb1
Ibo,Aslan,The Last Ottoman,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
Tom,Aspinall,,http://ufcstats.com/fighter-details/399afbabc02376b5
Steven,Asplund,Concrete,http://ufcstats.com/fighter-details/e56cee1ad697db04
