fighterId,espnId
0052de90691d4a93,3114625
008dc37cca279def,2504669
008ea710276c9606,4684238
009c4420727149ea,4374436
00e11b5c8b7bfeeb,2519811
013da757877044a2,2497088
01784fbc27c68b14,3154908
01afe0916a40c7c5,4020699
01b352b6a9074d5c,3952937
01d2ed8c502e3828,2558612
01daf32100ed7517,2486935
01f022fa494188e2,2504645
01fcef7e3d051722,2977004
01fed6f61ebea01f,4062287
0232cabbc30a2372,3998248
02500fb9fd79a974,2354359
029880cdbf5ca089,2335678
029afd138865d20a,3120449
029e1293e609fd74,3895515
029eaff01e6bb8f0,2506549
02f2a9702ba3d167,3016689
030f08370fd1c2bb,2354537
032cc3922d871c7f,2611557
0359313549d230a1,2335480
03c9994c5b8958ec,2552663
03f982ca3735070c,3023815
040a74bb0a465c54,3902098
045f25b3a4c08e81,2976993
04643fd03d9159cc,2335683
04835018f90b118c,4699589
049d698d773eb3e1,2335761
04b39f4e8eb59d7c,3918015
04c15b52c3cc1cab,2335815
04c8b08b16a5b99e,4232775
04d5718ed2661e8c,2410613
04f9fe830cf13482,2501538
05339613bf8e9808,3090451
054defd5420a551f,2335756
05560764359161e4,2553304
056c493bbd76a918,3023388
05866d8c3a321856,2335749
058e4e08a1ad8aba,2335805
0597a4528ebd1307,2354224
05fa626cb33d15b8,3153106
0641c21bec209472,3960472
06f0ffa6446c5b6d,2500527
06f36cf4bd97ec77,2335754
07225ba28ae309b6,2504169
0749d968e932df53,2504957
077e3ace32b72be9,4396359
07f72a2a7591b409,2335639
0845c81e37d3bcb3,3110836
0876d21328cf4a45,3082806
08af939f41b5a57b,3085551
093e1f5bb73850be,4290956
0941df56f6ac954b,2354130
09c44b317c98bf96,2499293
09e62c450e754913,2989380
09f579be4520394a,3155410
0a1942069c9ad6b6,3074102
0a73acff6325c1e2,4781218
0a95c474e61a6c44,4364223
0a97691039c4bbfb,2501722
0aa92558424ced9e,2335338
0b31f87be71ebbb1,2500597
0b362247806341e5,4249185
0b5b6876c2a4723f,2335719
0b64d0fed453ef7f,2504173
0bcfe2513cb3bc39,2617232
0c258d1d8e16e5f1,4426319
0c25d0a5e8cdbf19,4710386
0c6d9ea8306c029e,2504643
0c9c0a43d3f3f49d,2964412
0ccab7c889ede9ea,3157944
0d0351c20169a499,3082809
0d506315895efffc,2531643
0d65c432720accb9,4012999
0d7b51c9d2649a6e,3166126
0d8011111be000b2,3093653
0d980975001ae3d8,3955238
0dba4df5f34d5ff0,2504667
0de720c0f1d4ab9c,3890629
0e041d43a47d2e4b,2354346
0e21976afc92e4d1,2511447
0e31bfd26cc8c503,2354259
0e5c4e72237461bb,4687105
0ee783aa00e468f0,2354057
0fd5f4b838e890cc,3903378
0ff11cc094e887bc,2335654
102a8fdf8cbf7467,4875509
10559c53de0b950e,2516118
108afe61a26bcbf4,2951523
1091d4d957141094,3026263
10f3ba6cd2f44a97,2335888
113df4fde64735c6,3070984
1208ffc5be6e31ad,2354341
1209b5134401ca53,2556805
122ac9b816d8b71c,4287764
1235b31de15d0c6e,4399703
12458872d6afae1b,2335523
12585614e0ed2626,4700964
1291edf2d566a71a,4227122
129537073431e52e,3060123
12e0fdc606f7e274,3074813
12f91bfa8f1f723b,3028064
132505067f08c54d,2966920
132deb59abae64b1,2554705
132f860d02953f4c,2335777
1338e2c7480bdf9e,4285679
135d124172a0bea3,4215563
13a0275fa13c4d26,3154860
13b2f59210dda9cc,2951263
