EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 1,Dricus Du Plessis,0,29 of 62,46%,30 of 63,0 of 0,---,0,0,0:00,22 of 50,2 of 5,5 of 7,28 of 61,1 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 2,Dricus Du Plessis,0,36 of 70,51%,38 of 73,0 of 0,---,0,0,0:06,32 of 66,2 of 2,2 of 2,34 of 67,2 of 2,0 of 1
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 3,Dricus Du Plessis,0,25 of 43,58%,25 of 43,0 of 0,---,0,0,0:00,17 of 33,6 of 8,2 of 2,25 of 43,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 4,Dricus Du Plessis,0,24 of 51,47%,24 of 52,0 of 0,---,0,0,0:00,18 of 43,6 of 7,0 of 1,23 of 49,1 of 1,0 of 1
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 5,Dricus Du Plessis,0,22 of 47,46%,22 of 47,0 of 2,0%,0,0,0:00,13 of 38,8 of 8,1 of 1,22 of 47,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 1,Kamaru Usman,0,17 of 41,41%,18 of 42,0 of 1,0%,0,0,0:00,8 of 28,7 of 11,2 of 2,17 of 41,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 2,Kamaru Usman,0,14 of 39,35%,19 of 46,0 of 1,0%,0,0,0:15,8 of 32,6 of 7,0 of 0,11 of 36,3 of 3,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 3,Kamaru Usman,0,17 of 38,44%,17 of 38,0 of 1,0%,0,0,0:02,8 of 23,9 of 15,0 of 0,17 of 38,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 4,Kamaru Usman,0,21 of 49,42%,21 of 50,0 of 3,0%,0,0,0:00,11 of 35,8 of 12,2 of 2,21 of 49,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 5,Kamaru Usman,0,23 of 67,34%,24 of 68,0 of 1,0%,0,0,0:07,14 of 52,7 of 13,2 of 2,22 of 66,1 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jared Cannonier vs. Christian Leroy Duncan,Round 1,Jared Cannonier,0,2 of 8,25%,5 of 12,1 of 3,33%,0,0,2:02,0 of 6,2 of 2,0 of 0,2 of 8,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jared Cannonier vs. Christian Leroy Duncan,Round 2,Jared Cannonier,0,10 of 25,40%,15 of 30,1 of 2,50%,0,0,2:19,7 of 20,2 of 4,1 of 1,3 of 14,6 of 10,1 of 1
UFC Fight Night: Du Plessis vs. Usman,Jared Cannonier vs. Christian Leroy Duncan,Round 3,Jared Cannonier,0,3 of 13,23%,16 of 27,3 of 3,100%,0,0,1:51,0 of 10,2 of 2,1 of 1,1 of 11,2 of 2,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jared Cannonier vs. Christian Leroy Duncan,Round 1,Christian Leroy Duncan,0,27 of 42,64%,37 of 56,1 of 1,100%,0,0,1:09,13 of 28,10 of 10,4 of 4,14 of 24,13 of 18,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jared Cannonier vs. Christian Leroy Duncan,Round 2,Christian Leroy Duncan,0,16 of 31,51%,26 of 42,0 of 1,0%,0,1,0:44,11 of 25,3 of 4,2 of 2,10 of 23,6 of 7,0 of 1
UFC Fight Night: Du Plessis vs. Usman,Jared Cannonier vs. Christian Leroy Duncan,Round 3,Christian Leroy Duncan,0,25 of 44,56%,31 of 50,0 of 1,0%,0,0,0:23,13 of 32,4 of 4,8 of 8,19 of 35,6 of 9,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Chase Hooper vs. Mitch Ramirez,Round 1,Chase Hooper,0,3 of 7,42%,4 of 8,1 of 2,50%,1,0,1:27,2 of 6,0 of 0,1 of 1,3 of 7,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Chase Hooper vs. Mitch Ramirez,Round 1,Mitch Ramirez,0,1 of 1,100%,3 of 3,0 of 0,---,0,0,0:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs. Fatima Kline,Round 1,Tabatha Ricci,0,5 of 31,16%,6 of 33,0 of 3,0%,0,0,0:01,4 of 29,1 of 1,0 of 1,4 of 30,1 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs. Fatima Kline,Round 2,Tabatha Ricci,0,7 of 34,20%,7 of 34,0 of 4,0%,0,0,0:00,6 of 29,1 of 3,0 of 2,6 of 33,1 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs. Fatima Kline,Round 3,Tabatha Ricci,0,12 of 37,32%,13 of 41,1 of 1,100%,0,0,0:29,8 of 31,3 of 5,1 of 1,12 of 36,0 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs. Fatima Kline,Round 1,Fatima Kline,0,13 of 55,23%,14 of 60,3 of 3,100%,0,0,1:39,9 of 50,4 of 5,0 of 0,10 of 50,3 of 5,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs. Fatima Kline,Round 2,Fatima Kline,0,24 of 48,50%,30 of 55,2 of 3,66%,1,0,2:13,16 of 37,7 of 10,1 of 1,21 of 44,3 of 4,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs. Fatima Kline,Round 3,Fatima Kline,0,29 of 61,47%,42 of 80,2 of 3,66%,0,1,1:08,16 of 43,9 of 13,4 of 5,25 of 57,3 of 3,1 of 1
UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs. Alberto Montes,Round 1,Tommy McMillen,0,74 of 170,43%,74 of 170,0 of 0,---,0,0,0:31,56 of 144,10 of 15,8 of 11,71 of 166,0 of 0,3 of 4
UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs. Alberto Montes,Round 2,Tommy McMillen,0,97 of 197,49%,97 of 198,0 of 0,---,0,0,0:00,68 of 160,26 of 33,3 of 4,89 of 181,8 of 16,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs. Alberto Montes,Round 3,Tommy McMillen,2,81 of 146,55%,84 of 149,0 of 0,---,0,0,0:26,61 of 125,16 of 17,4 of 4,74 of 137,3 of 3,4 of 6
UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs. Alberto Montes,Round 1,Alberto Montes,0,23 of 56,41%,23 of 56,0 of 0,---,0,0,0:00,21 of 51,1 of 4,1 of 1,23 of 56,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs. Alberto Montes,Round 2,Alberto Montes,0,26 of 64,40%,26 of 64,0 of 0,---,0,0,0:00,21 of 58,3 of 4,2 of 2,26 of 64,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs. Alberto Montes,Round 3,Alberto Montes,0,7 of 27,25%,7 of 27,0 of 0,---,0,0,0:00,6 of 25,0 of 0,1 of 2,7 of 27,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs. Jose Delgado,Round 1,Austin Bashi,0,10 of 28,35%,11 of 29,1 of 6,16%,0,0,0:40,7 of 25,3 of 3,0 of 0,9 of 26,1 of 2,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs. Jose Delgado,Round 2,Austin Bashi,0,7 of 27,25%,13 of 33,2 of 5,40%,0,0,1:10,4 of 22,1 of 2,2 of 3,5 of 25,2 of 2,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs. Jose Delgado,Round 3,Austin Bashi,0,15 of 32,46%,30 of 49,0 of 3,0%,1,1,1:20,12 of 27,3 of 5,0 of 0,12 of 27,1 of 3,2 of 2
UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs. Jose Delgado,Round 1,Jose Delgado,1,12 of 29,41%,38 of 60,0 of 0,---,0,0,1:24,6 of 23,4 of 4,2 of 2,9 of 25,2 of 3,1 of 1
UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs. Jose Delgado,Round 2,Jose Delgado,0,13 of 28,46%,15 of 30,0 of 0,---,0,0,0:11,9 of 22,3 of 5,1 of 1,12 of 27,1 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs. Jose Delgado,Round 3,Jose Delgado,0,10 of 28,35%,17 of 36,1 of 3,33%,0,0,0:19,7 of 25,2 of 2,1 of 1,8 of 26,2 of 2,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jean-Paul Lebosnoyani vs. Seokhyeon Ko,Round 1,Jean-Paul Lebosnoyani,0,15 of 51,29%,18 of 54,1 of 1,100%,1,0,0:30,9 of 40,2 of 7,4 of 4,14 of 48,1 of 3,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jean-Paul Lebosnoyani vs. Seokhyeon Ko,Round 2,Jean-Paul Lebosnoyani,0,15 of 34,44%,27 of 47,1 of 1,100%,1,0,1:12,10 of 28,3 of 4,2 of 2,11 of 29,4 of 5,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jean-Paul Lebosnoyani vs. Seokhyeon Ko,Round 3,Jean-Paul Lebosnoyani,0,22 of 67,32%,22 of 67,1 of 2,50%,0,0,0:27,16 of 57,5 of 8,1 of 2,16 of 55,6 of 12,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jean-Paul Lebosnoyani vs. Seokhyeon Ko,Round 1,Seokhyeon Ko,0,25 of 61,40%,27 of 63,0 of 2,0%,0,0,0:14,18 of 53,3 of 4,4 of 4,24 of 60,1 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Jean-Paul Lebosnoyani vs. Seokhyeon Ko,Round 2,Seokhyeon Ko,0,17 of 49,34%,28 of 63,0 of 1,0%,0,1,1:33,14 of 45,3 of 4,0 of 0,13 of 45,1 of 1,3 of 3
UFC Fight Night: Du Plessis vs. Usman,Jean-Paul Lebosnoyani vs. Seokhyeon Ko,Round 3,Seokhyeon Ko,0,24 of 58,41%,25 of 60,0 of 1,0%,0,0,0:00,23 of 55,1 of 3,0 of 0,24 of 58,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Levi Rodrigues Jr. vs. Felipe Franco,Round 1,Levi Rodrigues Jr.,0,11 of 28,39%,26 of 48,0 of 0,---,0,0,0:00,7 of 23,0 of 0,4 of 5,11 of 28,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Levi Rodrigues Jr. vs. Felipe Franco,Round 2,Levi Rodrigues Jr.,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Levi Rodrigues Jr. vs. Felipe Franco,Round 1,Felipe Franco,0,16 of 25,64%,25 of 37,2 of 4,50%,0,0,2:27,15 of 24,1 of 1,0 of 0,9 of 16,0 of 0,7 of 9
UFC Fight Night: Du Plessis vs. Usman,Levi Rodrigues Jr. vs. Felipe Franco,Round 2,Felipe Franco,0,23 of 31,74%,27 of 35,1 of 2,50%,0,0,1:24,23 of 31,0 of 0,0 of 0,3 of 4,0 of 0,20 of 27
UFC Fight Night: Du Plessis vs. Usman,Ezra Elliott vs. Damien Anderson,Round 1,Ezra Elliott,0,1 of 6,16%,4 of 9,4 of 7,57%,0,0,3:41,0 of 4,0 of 1,1 of 1,1 of 5,0 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Ezra Elliott vs. Damien Anderson,Round 2,Ezra Elliott,0,5 of 5,100%,5 of 5,4 of 5,80%,3,0,4:03,4 of 4,1 of 1,0 of 0,1 of 1,0 of 0,4 of 4
UFC Fight Night: Du Plessis vs. Usman,Ezra Elliott vs. Damien Anderson,Round 3,Ezra Elliott,0,0 of 0,---,12 of 15,4 of 6,66%,0,0,3:17,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Ezra Elliott vs. Damien Anderson,Round 1,Damien Anderson,0,4 of 9,44%,14 of 20,0 of 1,0%,1,0,0:00,3 of 6,1 of 1,0 of 2,2 of 6,1 of 2,1 of 1
UFC Fight Night: Du Plessis vs. Usman,Ezra Elliott vs. Damien Anderson,Round 2,Damien Anderson,0,2 of 4,50%,2 of 4,0 of 1,0%,0,0,0:00,1 of 3,1 of 1,0 of 0,0 of 2,2 of 2,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Ezra Elliott vs. Damien Anderson,Round 3,Damien Anderson,0,1 of 7,14%,7 of 13,0 of 0,---,0,0,0:47,1 of 7,0 of 0,0 of 0,0 of 0,0 of 0,1 of 7
UFC Fight Night: Du Plessis vs. Usman,Alden Coria vs. Stewart Nicoll,Round 1,Alden Coria,0,14 of 39,35%,15 of 40,0 of 1,0%,0,0,0:09,11 of 36,3 of 3,0 of 0,14 of 39,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Alden Coria vs. Stewart Nicoll,Round 2,Alden Coria,0,14 of 34,41%,23 of 44,1 of 1,100%,1,0,1:05,9 of 29,4 of 4,1 of 1,12 of 32,1 of 1,1 of 1
UFC Fight Night: Du Plessis vs. Usman,Alden Coria vs. Stewart Nicoll,Round 3,Alden Coria,0,16 of 54,29%,22 of 60,2 of 3,66%,3,0,1:03,15 of 53,1 of 1,0 of 0,16 of 54,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Alden Coria vs. Stewart Nicoll,Round 1,Stewart Nicoll,0,9 of 39,23%,10 of 40,3 of 4,75%,0,0,1:03,7 of 36,1 of 1,1 of 2,9 of 39,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Alden Coria vs. Stewart Nicoll,Round 2,Stewart Nicoll,0,13 of 28,46%,13 of 28,1 of 3,33%,0,0,1:27,8 of 20,2 of 4,3 of 4,13 of 28,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Alden Coria vs. Stewart Nicoll,Round 3,Stewart Nicoll,0,6 of 23,26%,9 of 26,1 of 2,50%,0,0,1:47,5 of 21,1 of 2,0 of 0,6 of 23,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,RJ Harris vs. Alvin Hines,Round 1,RJ Harris,1,15 of 26,57%,17 of 28,0 of 0,---,0,0,0:10,12 of 23,0 of 0,3 of 3,7 of 11,0 of 0,8 of 15
UFC Fight Night: Du Plessis vs. Usman,RJ Harris vs. Alvin Hines,Round 1,Alvin Hines,0,11 of 25,44%,11 of 25,0 of 0,---,0,0,0:00,0 of 5,2 of 7,9 of 13,11 of 25,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Anna Melisano vs. Dione Barbosa,Round 1,Anna Melisano,0,2 of 6,33%,6 of 10,0 of 0,---,0,0,0:00,1 of 4,0 of 1,1 of 1,2 of 6,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Anna Melisano vs. Dione Barbosa,Round 1,Dione Barbosa,0,5 of 7,71%,22 of 29,1 of 2,50%,2,0,3:31,2 of 4,3 of 3,0 of 0,1 of 2,2 of 2,2 of 3
UFC 329: McGregor vs. Holloway 2,Conor McGregor vs. Max Holloway,Round 1,Conor McGregor,0,0 of 6,0%,5 of 11,0 of 0,---,0,0,0:00,0 of 6,0 of 0,0 of 0,0 of 5,0 of 1,0 of 0
UFC 329: McGregor vs. Holloway 2,Conor McGregor vs. Max Holloway,Round 1,Max Holloway,0,12 of 19,63%,14 of 22,0 of 0,---,0,0,0:37,8 of 15,0 of 0,4 of 4,5 of 6,0 of 0,7 of 13
UFC 329: McGregor vs. Holloway 2,Benoit Saint Denis vs. Paddy Pimblett,Round 1,Benoit Saint Denis,0,1 of 3,33%,1 of 3,0 of 1,0%,0,0,0:04,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,Benoit Saint Denis vs. Paddy Pimblett,Round 1,Paddy Pimblett,0,4 of 5,80%,4 of 5,0 of 0,---,1,0,0:37,2 of 3,0 of 0,2 of 2,4 of 5,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,Cory Sandhagen vs. Mario Bautista,Round 1,Cory Sandhagen,0,39 of 71,54%,43 of 78,0 of 2,0%,0,0,0:23,23 of 50,7 of 12,9 of 9,31 of 59,8 of 12,0 of 0
UFC 329: McGregor vs. Holloway 2,Cory Sandhagen vs. Mario Bautista,Round 2,Cory Sandhagen,0,39 of 77,50%,44 of 82,0 of 0,---,0,0,0:09,38 of 74,1 of 3,0 of 0,33 of 70,6 of 7,0 of 0
UFC 329: McGregor vs. Holloway 2,Cory Sandhagen vs. Mario Bautista,Round 3,Cory Sandhagen,0,11 of 28,39%,17 of 36,1 of 2,50%,0,0,0:41,9 of 26,1 of 1,1 of 1,9 of 25,2 of 3,0 of 0
UFC 329: McGregor vs. Holloway 2,Cory Sandhagen vs. Mario Bautista,Round 1,Mario Bautista,0,35 of 52,67%,42 of 59,1 of 4,25%,2,0,0:37,24 of 40,5 of 6,6 of 6,31 of 48,4 of 4,0 of 0
UFC 329: McGregor vs. Holloway 2,Cory Sandhagen vs. Mario Bautista,Round 2,Mario Bautista,0,39 of 79,49%,44 of 84,0 of 5,0%,0,0,0:18,20 of 55,9 of 12,10 of 12,32 of 71,7 of 8,0 of 0
UFC 329: McGregor vs. Holloway 2,Cory Sandhagen vs. Mario Bautista,Round 3,Mario Bautista,1,40 of 54,74%,57 of 72,7 of 11,63%,1,0,2:26,32 of 46,6 of 6,2 of 2,19 of 26,6 of 6,15 of 22
UFC 329: McGregor vs. Holloway 2,Brandon Royval vs. Lone'er Kavanagh,Round 1,Brandon Royval,0,32 of 59,54%,49 of 76,1 of 2,50%,0,0,1:15,27 of 54,3 of 3,2 of 2,20 of 45,4 of 4,8 of 10
UFC 329: McGregor vs. Holloway 2,Brandon Royval vs. Lone'er Kavanagh,Round 2,Brandon Royval,0,31 of 66,46%,58 of 95,1 of 3,33%,0,0,0:34,30 of 65,1 of 1,0 of 0,25 of 56,3 of 5,3 of 5
UFC 329: McGregor vs. Holloway 2,Brandon Royval vs. Lone'er Kavanagh,Round 3,Brandon Royval,0,21 of 27,77%,39 of 47,1 of 1,100%,2,0,3:04,21 of 27,0 of 0,0 of 0,10 of 16,4 of 4,7 of 7
UFC 329: McGregor vs. Holloway 2,Brandon Royval vs. Lone'er Kavanagh,Round 1,Lone'er Kavanagh,0,19 of 34,55%,19 of 34,1 of 1,100%,0,0,0:16,7 of 18,6 of 7,6 of 9,17 of 30,1 of 1,1 of 3
UFC 329: McGregor vs. Holloway 2,Brandon Royval vs. Lone'er Kavanagh,Round 2,Lone'er Kavanagh,1,34 of 55,61%,39 of 60,0 of 1,0%,0,0,1:53,22 of 41,11 of 12,1 of 2,14 of 26,9 of 12,11 of 17
UFC 329: McGregor vs. Holloway 2,Brandon Royval vs. Lone'er Kavanagh,Round 3,Lone'er Kavanagh,0,3 of 5,60%,5 of 7,0 of 0,---,1,0,0:00,2 of 4,0 of 0,1 of 1,3 of 5,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,King Green vs. Terrance McKinney,Round 1,King Green,1,43 of 72,59%,57 of 86,0 of 0,---,0,0,0:03,18 of 43,20 of 24,5 of 5,35 of 59,0 of 2,8 of 11
UFC 329: McGregor vs. Holloway 2,King Green vs. Terrance McKinney,Round 1,Terrance McKinney,0,45 of 80,56%,59 of 96,1 of 1,100%,0,0,2:12,40 of 75,5 of 5,0 of 0,25 of 58,2 of 3,18 of 19
UFC 329: McGregor vs. Holloway 2,Nikita Krylov vs. Robert Whittaker,Round 1,Nikita Krylov,0,20 of 40,50%,26 of 47,3 of 5,60%,0,0,2:10,10 of 28,7 of 8,3 of 4,17 of 36,3 of 4,0 of 0
UFC 329: McGregor vs. Holloway 2,Nikita Krylov vs. Robert Whittaker,Round 2,Nikita Krylov,0,28 of 52,53%,28 of 52,0 of 1,0%,0,0,0:00,10 of 31,8 of 11,10 of 10,25 of 49,3 of 3,0 of 0
UFC 329: McGregor vs. Holloway 2,Nikita Krylov vs. Robert Whittaker,Round 3,Nikita Krylov,0,3 of 7,42%,3 of 7,0 of 0,---,0,0,0:00,1 of 3,2 of 4,0 of 0,3 of 7,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,Nikita Krylov vs. Robert Whittaker,Round 1,Robert Whittaker,0,20 of 38,52%,21 of 39,0 of 0,---,0,0,0:00,20 of 38,0 of 0,0 of 0,17 of 32,3 of 6,0 of 0
UFC 329: McGregor vs. Holloway 2,Nikita Krylov vs. Robert Whittaker,Round 2,Robert Whittaker,0,29 of 61,47%,29 of 61,0 of 0,---,0,0,0:00,29 of 61,0 of 0,0 of 0,29 of 61,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,Nikita Krylov vs. Robert Whittaker,Round 3,Robert Whittaker,0,5 of 12,41%,5 of 12,0 of 0,---,0,0,0:00,5 of 12,0 of 0,0 of 0,5 of 12,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,Gable Steveson vs. Elisha Ellison,Round 1,Gable Steveson,1,41 of 57,71%,41 of 57,0 of 1,0%,0,0,0:10,25 of 39,12 of 14,4 of 4,28 of 40,12 of 16,1 of 1
UFC 329: McGregor vs. Holloway 2,Gable Steveson vs. Elisha Ellison,Round 1,Elisha Ellison,0,13 of 33,39%,14 of 34,0 of 0,---,0,0,0:00,10 of 30,3 of 3,0 of 0,9 of 28,4 of 5,0 of 0
UFC 329: McGregor vs. Holloway 2,Cody Garbrandt vs. Adrian Yanez,Round 1,Cody Garbrandt,0,13 of 32,40%,13 of 32,0 of 1,0%,0,0,0:00,10 of 29,2 of 2,1 of 1,12 of 29,1 of 3,0 of 0
UFC 329: McGregor vs. Holloway 2,Cody Garbrandt vs. Adrian Yanez,Round 1,Adrian Yanez,1,16 of 30,53%,16 of 30,0 of 0,---,0,0,0:00,13 of 27,2 of 2,1 of 1,12 of 25,4 of 5,0 of 0
UFC 329: McGregor vs. Holloway 2,Luke Riley vs. Kai Kamaka III,Round 1,Luke Riley,1,43 of 67,64%,43 of 67,0 of 0,---,0,0,0:02,30 of 53,9 of 10,4 of 4,35 of 58,6 of 7,2 of 2
UFC 329: McGregor vs. Holloway 2,Luke Riley vs. Kai Kamaka III,Round 1,Kai Kamaka III,0,23 of 41,56%,23 of 41,0 of 0,---,0,0,0:00,9 of 23,4 of 5,10 of 13,23 of 41,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,Tracy Cortez vs. Wang Cong,Round 1,Tracy Cortez,0,21 of 44,47%,21 of 44,1 of 4,25%,0,0,0:13,14 of 35,4 of 6,3 of 3,18 of 40,3 of 4,0 of 0
UFC 329: McGregor vs. Holloway 2,Tracy Cortez vs. Wang Cong,Round 2,Tracy Cortez,0,27 of 56,48%,29 of 58,0 of 2,0%,0,0,0:00,17 of 44,5 of 7,5 of 5,26 of 55,1 of 1,0 of 0
UFC 329: McGregor vs. Holloway 2,Tracy Cortez vs. Wang Cong,Round 3,Tracy Cortez,0,24 of 56,42%,24 of 56,0 of 3,0%,0,0,0:18,17 of 48,3 of 4,4 of 4,22 of 54,2 of 2,0 of 0
UFC 329: McGregor vs. Holloway 2,Tracy Cortez vs. Wang Cong,Round 1,Wang Cong,0,41 of 63,65%,49 of 71,0 of 0,---,0,0,0:37,21 of 38,4 of 5,16 of 20,37 of 57,4 of 6,0 of 0
UFC 329: McGregor vs. Holloway 2,Tracy Cortez vs. Wang Cong,Round 2,Wang Cong,0,52 of 85,61%,55 of 88,0 of 0,---,0,0,0:29,33 of 61,10 of 12,9 of 12,47 of 77,1 of 1,4 of 7
UFC 329: McGregor vs. Holloway 2,Tracy Cortez vs. Wang Cong,Round 3,Wang Cong,0,44 of 67,65%,49 of 72,0 of 0,---,0,0,0:16,23 of 41,14 of 16,7 of 10,42 of 65,1 of 1,1 of 1
UFC 329: McGregor vs. Holloway 2,Damian Pinas vs. Cesar Almeida,Round 1,Damian Pinas,1,25 of 33,75%,28 of 37,0 of 1,0%,0,0,0:03,12 of 20,5 of 5,8 of 8,24 of 32,0 of 0,1 of 1
UFC 329: McGregor vs. Holloway 2,Damian Pinas vs. Cesar Almeida,Round 1,Cesar Almeida,0,37 of 50,74%,39 of 52,1 of 1,100%,0,0,0:33,8 of 16,15 of 20,14 of 14,37 of 50,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,Farid Basharat vs. John Garza,Round 1,Farid Basharat,0,23 of 35,65%,24 of 36,2 of 4,50%,0,0,1:36,16 of 26,2 of 3,5 of 6,21 of 32,1 of 2,1 of 1
UFC 329: McGregor vs. Holloway 2,Farid Basharat vs. John Garza,Round 2,Farid Basharat,0,26 of 36,72%,28 of 38,2 of 10,20%,0,0,1:06,21 of 30,2 of 3,3 of 3,23 of 33,1 of 1,2 of 2
UFC 329: McGregor vs. Holloway 2,Farid Basharat vs. John Garza,Round 3,Farid Basharat,0,37 of 63,58%,43 of 71,1 of 8,12%,0,0,1:20,28 of 53,2 of 3,7 of 7,24 of 42,3 of 4,10 of 17
UFC 329: McGregor vs. Holloway 2,Farid Basharat vs. John Garza,Round 1,John Garza,0,15 of 47,31%,20 of 52,0 of 0,---,0,1,0:07,8 of 37,7 of 8,0 of 2,14 of 45,1 of 2,0 of 0
UFC 329: McGregor vs. Holloway 2,Farid Basharat vs. John Garza,Round 2,John Garza,0,33 of 76,43%,37 of 80,0 of 0,---,0,0,0:05,21 of 61,12 of 14,0 of 1,21 of 60,12 of 16,0 of 0
UFC 329: McGregor vs. Holloway 2,Farid Basharat vs. John Garza,Round 3,John Garza,0,34 of 64,53%,35 of 65,0 of 0,---,0,0,0:01,26 of 53,8 of 11,0 of 0,31 of 60,3 of 3,0 of 1
UFC 329: McGregor vs. Holloway 2,Ryan Gandra vs. Zach Reese,Round 1,Ryan Gandra,1,10 of 20,50%,10 of 20,0 of 0,---,0,0,0:05,8 of 16,2 of 4,0 of 0,5 of 13,0 of 0,5 of 7
UFC 329: McGregor vs. Holloway 2,Ryan Gandra vs. Zach Reese,Round 1,Zach Reese,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,3 of 8,1 of 1,1 of 1,5 of 10,0 of 0,0 of 0
UFC 329: McGregor vs. Holloway 2,Alessandro Costa vs. Cody Durden,Round 1,Alessandro Costa,0,16 of 37,43%,16 of 37,0 of 0,---,0,0,0:00,11 of 28,4 of 6,1 of 3,16 of 36,0 of 1,0 of 0
UFC 329: McGregor vs. Holloway 2,Alessandro Costa vs. Cody Durden,Round 2,Alessandro Costa,0,5 of 12,41%,9 of 16,0 of 0,---,2,0,1:01,4 of 8,0 of 1,1 of 3,3 of 9,0 of 0,2 of 3
UFC 329: McGregor vs. Holloway 2,Alessandro Costa vs. Cody Durden,Round 1,Cody Durden,0,17 of 53,32%,19 of 55,0 of 2,0%,0,0,0:12,12 of 48,2 of 2,3 of 3,16 of 51,1 of 2,0 of 0
