EVENT,URL,DATE,LOCATION
UFC Fight Night: Magny vs. Prates,http://ufcstats.com/event-details/585f9ffdb0cd0466,"November 09, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Moreno vs. Albazi,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,"November 02, 2024","Edmonton, Alberta, Canada"
UFC 308: Topuria vs. Holloway,http://ufcstats.com/event-details/221b2a3070c7ce3e,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Hernandez vs. Pereira,http://ufcstats.com/event-details/6a0047ac8c99fece,"October 19, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Royval vs. Taira,http://ufcstats.com/event-details/5bdcbd8dd681a257,"October 12, 2024","Las Vegas, Nevada, USA"
UFC 307: Pereira vs. Rountree Jr.,http://ufcstats.com/event-details/eee8efec7b951d84,"October 05, 2024","Salt Lake City, Utah, USA"
UFC Fight Night: Moicano vs. Saint Denis,http://ufcstats.com/event-details/079488710f012779,"September 28, 2024","Paris, Ile-de-France, France"
UFC 306: Riyadh Season Noche UFC,http://ufcstats.com/event-details/0c01568b1ac77bff,"September 14, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Burns vs. Brady,http://ufcstats.com/event-details/ee0b69e307c857e5,"September 07, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/event-details/be8ad887e4d674b0,"August 24, 2024","Las Vegas, Nevada, USA"
UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/event-details/32ba186f4b0e3267,"August 17, 2024","Perth, Western Australia, Australia"
UFC Fight Night: Tybura vs. Spivac 2,http://ufcstats.com/event-details/2c733e059462c1dc,"August 10, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Sandhagen vs. Nurmagomedov,http://ufcstats.com/event-details/fe435e440b5de0ff,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC 304: Edwards vs. Muhammad 2,http://ufcstats.com/event-details/026b4f7049085842,"July 27, 2024","Manchester, England, United Kingdom"
UFC Fight Night: Lemos vs. Jandiroba,http://ufcstats.com/event-details/c11036da9162cb5f,"July 20, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Namajunas vs. Cortez,http://ufcstats.com/event-details/66e0a70352fef46a,"July 13, 2024","Denver, Colorado, USA"
UFC 303: Pereira vs. Prochazka 2,http://ufcstats.com/event-details/f3743d8ef5dde970,"June 29, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Whittaker vs. Aliskerov,http://ufcstats.com/event-details/b12a1d19ee383b7c,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia"
UFC Fight Night: Perez vs. Taira,http://ufcstats.com/event-details/9c5828c6fd9dc948,"June 15, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Cannonier vs. Imavov,http://ufcstats.com/event-details/cba3a2dfbc06ce79,"June 08, 2024","Louisville, Kentucky, USA"
UFC 302: Makhachev vs. Poirier,http://ufcstats.com/event-details/6e4acc2c115215b5,"June 01, 2024","Newark, New Jersey, USA"
UFC Fight Night: Barboza vs. Murphy,http://ufcstats.com/event-details/46baf0f57edfa4df,"May 18, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Lewis vs. Nascimento,http://ufcstats.com/event-details/5dfe71ade71f3a4b,"May 11, 2024","St. Louis, Missouri, USA"
UFC 301: Pantoja vs. Erceg,http://ufcstats.com/event-details/981ab7a0576f76a0,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Nicolau vs. Perez,http://ufcstats.com/event-details/a16ce18149021139,"April 27, 2024","Las Vegas, Nevada, USA"
UFC 300: Pereira vs. Hill,http://ufcstats.com/event-details/6750e338922a099d,"April 13, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Allen vs. Curtis 2,http://ufcstats.com/event-details/899eaba48fa864a6,"April 06, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Blanchfield vs. Fiorot,http://ufcstats.com/event-details/dba230fe33011201,"March 30, 2024","Atlantic City, New Jersey, USA"
